call_id,caller_number,called_number,start_time,call_duration,call_status,call_cost,data_usage_mb,data_cost,sms_count,sms_cost,is_roaming,roaming_surcharge,total_cost,t_c
26b94ec0-d79e-4d42-a7c7-7987ea362239,16271264638,18796967661,22-03-24 21:10,3461,NO_ANSWER,$34.61 ,4703.18,$23.52 ,34,$0.68 ,TRUE,$9.75 ,$68.56 ,$68.56 
eddc6a8a-27fb-4c71-8496-df021fbd0609,14444861161,14042718843,31-03-24 21:10,3507,BUSY,$35.07 ,4662.73,$23.31 ,16,$0.32 ,TRUE,$9.53 ,68.23,$68.23 
c30b5b28-ef37-4d03-98ad-b6befd05afaf,18776002363,12513057713,24-09-24 21:10,3534,FAILED,$35.34 ,4744.3,$23.72 ,49,$0.98 ,TRUE,$8.00 ,68.04,$68.04 
26e99999-031b-4174-9953-e64ceb865987,14861747593,17932363366,27-11-23 21:10,3477,FAILED,$34.77 ,4704.33,$23.52 ,50,$1.00 ,TRUE,$8.53 ,67.82,$67.82 
e0fc556a-1309-4119-b5e3-60a2cd647fa7,18647348622,15274101836,24-10-24 21:10,3249,NO_ANSWER,$32.49 ,4994.63,$24.97 ,0,$0.00 ,TRUE,$9.53 ,$66.99 ,$66.99 
c4af3a22-8be7-4125-b319-66755db678c2,17142749904,12206262740,06-12-23 21:10,3298,FAILED,$32.98 ,4863.31,$24.32 ,46,$0.92 ,TRUE,$8.29 ,66.51,$66.51 
8e22423d-d31a-41ba-ac71-1fdc76335d26,16325266546,12254087165,12-12-23 21:10,3599,BUSY,$35.99 ,3972.29,$19.86 ,49,$0.98 ,TRUE,$9.59 ,$66.42 ,$66.42 
d3c9d239-13bc-4dc4-87d3-bea0b3f4eb2c,13233158101,13593319520,01-01-24 21:10,3473,ANSWERED,$34.73 ,4652.35,$23.26 ,49,$0.98 ,TRUE,$7.40 ,66.37,$66.37 
701d100e-e090-41bf-983a-8db80a7a979f,15968443469,14361329639,30-10-24 21:10,3520,FAILED,$35.20 ,4153.23,$20.77 ,26,$0.52 ,TRUE,$9.71 ,$66.20 ,$66.20 
7e8e5176-933c-4317-8544-4b4294b5f51e,19899852960,19877943467,12-04-24 21:10,3456,ANSWERED,$34.56 ,4338.53,$21.69 ,20,$0.40 ,TRUE,$9.09 ,$65.74 ,$65.74 
